"","country","lon","lat","date"
"1","china",104.195397,35.86166,1993
"2","hong kong",114.109497,22.396428,2011
"3","taiwan",120.960515,23.69781,2013
"4","japan",138.252924,36.204824,2006
"5","singapore",103.819836,1.352083,2013
"6","malaysia",101.975766,4.210484,2013
"7","sewden",18.643501,60.128161,2007
"8","norway",8.468946,60.472024,2007
"9","denmark",9.501785,56.26392,2007
"10","united kingdom",NA,NA,2008
"11","germany",10.451526,51.165691,2015
"12","austria",14.550072,47.516231,2013
"13","czech republic",NA,NA,2013
"14","australia",133.775136,-25.274398,2012
"15","new zealand",174.885971,-40.900557,2012
"16","united states",-95.712891,37.09024,2012
"17","mexico",-102.552784,23.634501,2016
